Categoria;Tipo;Marca;Produto;SKU;Material/Tecnologia;Cor;Compatibilidade;Recursos;Imagens
Volantes;Volante;BMW;BMW M5 - Couro;1.02.B02.00007;Couro;Preto;Confirmar aplicação pelo SKU;Paddle Shift | Comando multifuncional | Couro;imagens/bmw-bmw-m5-couro-1.webp | imagens/bmw-bmw-m5-couro-2.webp
Volantes;Volante;BMW;BMW M5 - Smart;1.02.B02.00003;Fibra de carbono com display LED;Preto / Carbono;Confirmar aplicação pelo SKU;Paddle Shift | Comando multifuncional | Fibra de carbono | Shift Light | Display digital;imagens/bmw-bmw-m5-smart-1.webp | imagens/bmw-bmw-m5-smart-2.webp
Volantes;Volante;BMW;BMW M5 Chassi G — Shift Light;1.02.B02.00040;Fibra de carbono com display LED;Preto / Carbono;BMW M5 com chassi G — confirmar aplicação pelo SKU;Paddle Shift | Comando multifuncional | Shift Light | Display digital;imagens/extra-1-02-b02-00040-bmw-m5-chassi-g-20a-geracao-led.webp
Volantes;Volante;Ford;Ford Mustang - Carbono;1.01.F02.00041;Fibra de carbono;Preto / Carbono;Confirmar aplicação pelo SKU;Paddle Shift | Comando multifuncional | Fibra de carbono;imagens/ford-ford-mustang-carbono-1.webp | imagens/ford-ford-mustang-carbono-2.webp
Volantes;Volante;Hyundai;Hyundai Elantra GT - Carbono;1.01.X01.00004;Fibra de carbono;Preto / Carbono;Confirmar aplicação pelo SKU;Paddle Shift | Comando multifuncional | Fibra de carbono;imagens/hyundai-hyundai-elantra-gt-carbono-1.webp | imagens/hyundai-hyundai-elantra-gt-carbono-2.webp
Volantes;Volante;Mercedes-Benz;Mercedes AMG 809 - Carbono (CAN);1.02.B01.00044;Fibra de carbono;Preto / Carbono;Confirmar aplicação pelo SKU;Paddle Shift | Comando multifuncional | Fibra de carbono | Protocolo CAN;imagens/mercedes-benz-mercedes-amg-809-carbono-can-1.webp | imagens/mercedes-benz-mercedes-amg-809-carbono-can-2.webp
Volantes;Volante;Mercedes-Benz;Mercedes AMG 809 — Carbono LIN Base Reta;1.02.B01.00046;Fibra de carbono;Preto / Carbono;Mercedes AMG 809 — protocolo LIN, base reta;Paddle Shift | Comando multifuncional | Fibra de carbono | Protocolo LIN | Base reta;imagens/mercedes-benz-mercedes-amg-809-carbono-lin-1.webp | imagens/mercedes-benz-mercedes-amg-809-carbono-lin-2.webp
Volantes;Volante;Mercedes-Benz;Mercedes AMG 809 - Couro (CAN);1.02.B01.00054;Couro;Preto;Confirmar aplicação pelo SKU;Paddle Shift | Comando multifuncional | Couro | Protocolo CAN;imagens/mercedes-benz-mercedes-amg-809-couro-can-1.webp | imagens/mercedes-benz-mercedes-amg-809-couro-can-2.webp
Volantes;Volante;Mercedes-Benz;Mercedes AMG 809 - Couro (LIN);1.02.B01.00056;Couro;Preto;Confirmar aplicação pelo SKU;Paddle Shift | Comando multifuncional | Couro | Protocolo LIN;imagens/mercedes-benz-mercedes-amg-809-couro-lin-1.webp | imagens/mercedes-benz-mercedes-amg-809-couro-lin-2.webp
Volantes;Volante;Mercedes-Benz;Mercedes AMG 809 — Carbono/G LIN Aro Redondo;1.02.B01.00061;Fibra de carbono;Preto / Carbono;Mercedes AMG 809 — protocolo LIN, aro redondo;Paddle Shift | Comando multifuncional | Fibra de carbono | Protocolo LIN | Aro redondo;imagens/extra-1-02-b01-00061-mercedes-amg-809-carbono-g-lin.webp
Volantes;Volante;Mercedes-Benz;Mercedes AMG Classe E - Carbono (CAN);1.02.B01.00036;Fibra de carbono;Preto / Carbono;Confirmar aplicação pelo SKU;Paddle Shift | Comando multifuncional | Fibra de carbono | Protocolo CAN;imagens/mercedes-benz-mercedes-amg-classe-e-carbono-can-1.webp | imagens/mercedes-benz-mercedes-amg-classe-e-carbono-can-2.webp
Volantes;Volante;Mercedes-Benz;Mercedes AMG Classe E - Carbono (LIN);1.02.B01.00031;Fibra de carbono;Preto / Carbono;Confirmar aplicação pelo SKU;Paddle Shift | Comando multifuncional | Fibra de carbono | Protocolo LIN;imagens/mercedes-benz-mercedes-amg-classe-e-carbono-lin-1.webp | imagens/mercedes-benz-mercedes-amg-classe-e-carbono-lin-2.webp
Volantes;Volante;Mercedes-Benz;Mercedes AMG Classe E - Couro (CAN);1.02.B01.00035;Couro;Preto;Confirmar aplicação pelo SKU;Paddle Shift | Comando multifuncional | Couro | Protocolo CAN;imagens/mercedes-benz-mercedes-amg-classe-e-couro-can-1.webp | imagens/mercedes-benz-mercedes-amg-classe-e-couro-can-2.webp
Volantes;Volante;Mercedes-Benz;Mercedes AMG Classe E - Couro (LIN);1.02.B01.00030;Couro;Preto;Confirmar aplicação pelo SKU;Paddle Shift | Comando multifuncional | Couro | Protocolo LIN;imagens/mercedes-benz-mercedes-amg-classe-e-couro-lin-1.webp | imagens/mercedes-benz-mercedes-amg-classe-e-couro-lin-2.webp
Volantes;Volante;Mercedes-Benz;Mercedes AMG Classe E — Carbono com Shift Light;1.02.B01.00032;Fibra de carbono com Shift Light;Preto / Carbono;Mercedes AMG Classe E — confirmar aplicação pelo SKU;Paddle Shift | Comando multifuncional | Fibra de carbono | Shift Light;imagens/extra-1-02-b01-00032-mercedes-amg-classe-e-21a-geracao-led-link.webp | imagens/mercedes-benz-mercedes-amg-carbono-com-shift-light-1.webp
Volantes;Volante;Mercedes-Benz;Mercedes-AMG - Carbono All Black;3.02.B01.00064;Fibra de carbono;All Black;Confirmar aplicação pelo SKU;Paddle Shift | Comando multifuncional | Fibra de carbono | All Black;imagens/mercedes-benz-mercedes-amg-carbono-all-black-1.webp
Volantes;Volante;Mercedes-Benz;Mercedes-AMG - Carbono Shift Light Vermelho;1.02.B01.00041;Fibra de carbono com Shift Light e detalhes em vermelho;Preto / Carbono / Vermelho;Confirmar aplicação pelo SKU;Paddle Shift | Comando multifuncional | Fibra de carbono | Shift Light | Detalhes em vermelho;imagens/mercedes-benz-mercedes-amg-carbono-shift-light-vermelho-1.webp
Volantes;Volante;Mitsubishi;Mitsubishi EVO - Carbono;1.01.S02.00002;Fibra de carbono;Preto / Carbono;Confirmar aplicação pelo SKU;Paddle Shift | Comando multifuncional | Fibra de carbono;imagens/mitsubishi-mitsubishi-evo-carbono-1.webp | imagens/mitsubishi-mitsubishi-evo-carbono-2.webp
Volantes;Volante;Porsche;Porsche - Carbono Shift Light;3.02.B08.00017;Fibra de carbono com Shift Light;Preto / Carbono;Confirmar aplicação pelo SKU;Paddle Shift | Comando multifuncional | Fibra de carbono | Shift Light;imagens/porsche-porsche-carbono-shift-light-1.webp
Volantes;Volante;Porsche;Porsche 718 — Couro;1.02.B08.00007;Couro;Preto / Detalhes prateados;Porsche 718 — confirmar aplicação pelo SKU;Paddle Shift | Comando multifuncional | Couro;imagens/extra-1-02-b08-00007-porsche-718-18a-geracao-couro.webp
Volantes;Volante;Porsche;Porsche 718 — Couro Black;1.02.B08.00011;Couro;Preto;Porsche 718 — confirmar aplicação pelo SKU;Paddle Shift | Comando multifuncional | Couro | Acabamento Black;imagens/extra-1-02-b08-00011-porsche-718-18a-geracao-couro-black.webp
Volantes;Volante;Porsche;Porsche 911 - Carbono;1.02.B08.00020;Fibra de carbono;Preto / Carbono;Confirmar aplicação pelo SKU;Paddle Shift | Comando multifuncional | Fibra de carbono;imagens/porsche-porsche-911-carbono-1.webp | imagens/porsche-porsche-911-carbono-2.webp
Volantes;Volante;Porsche;Porsche 911 - Couro;1.02.B08.00019;Couro;Preto;Confirmar aplicação pelo SKU;Paddle Shift | Comando multifuncional | Couro;imagens/porsche-porsche-911-couro-1.webp | imagens/porsche-porsche-911-couro-2.webp
Volantes;Volante;Volkswagen;Volkswagen CC - Carbono;1.01.D01.00015;Fibra de carbono;Preto / Carbono;Confirmar aplicação pelo SKU;Paddle Shift | Comando multifuncional | Fibra de carbono;imagens/volkswagen-volkswagen-cc-carbono-1.webp
Volantes;Volante;Volkswagen;Volkswagen Golf GTI - Carbono;1.02.D01.00009;Fibra de carbono;Preto / Carbono;Confirmar aplicação pelo SKU;Paddle Shift | Comando multifuncional | Fibra de carbono;imagens/volkswagen-volkswagen-golf-gti-carbono-1.webp | imagens/volkswagen-volkswagen-golf-gti-carbono-2.webp
Volantes;Volante;Volkswagen;Volkswagen Golf GTI 2015 — Carbono com Luz Branca;1.01.D01.00009;Fibra de carbono com iluminação branca;Preto / Carbono;Volkswagen Golf GTI — modelo 2015;Paddle Shift | Comando multifuncional | Fibra de carbono | Luz branca;imagens/extra-1-01-d01-00009-golf-gti-luz-branca.webp
Volantes;Volante;Volkswagen;Volkswagen Linha Completa - Couro;1.02.D01.00011;Couro;Preto;Confirmar aplicação pelo SKU;Paddle Shift | Comando multifuncional | Couro;imagens/volkswagen-volkswagen-linha-completa-couro-1.webp | imagens/volkswagen-volkswagen-linha-completa-couro-2.webp
Volantes;Volante;Volkswagen;Volkswagen Passat - Carbono;1.01.D01.00013;Fibra de carbono;Preto / Carbono;Confirmar aplicação pelo SKU;Paddle Shift | Comando multifuncional | Fibra de carbono;imagens/volkswagen-volkswagen-passat-carbono-1.webp
Faróis & Lanternas;Farol;BMW;Farol BMW F30 320i / 328;F01.00001;Full LED + DRL;Black Housing;BMW Série 3 F30 320i/328 (2013–2018);Full LED | DRL em L | Pisca sequencial;imagens/ilustracao-f01-00001.svg
Faróis & Lanternas;Farol;BMW;Farol BMW F30 — Angel Eyes;F01.00002;Bi-Xenon / LED;Black Housing;BMW Série 3 F30/F31;Angel Eyes | Bi-projetor | DRL;imagens/ilustracao-f01-00002.svg
Faróis & Lanternas;Farol;BMW;Farol BMW G20 — Laser Pro M340i;F01.00003;Laser LED;Black Housing;BMW Série 3 G20 / M340i;Laser LED branco | DRL Icon | Pisca sequencial;imagens/ilustracao-f01-00003.svg
Faróis & Lanternas;Lanterna;BMW;Lanterna BMW F30 — LCI Original;L01.00003;LED;Vermelho;BMW Série 3 F30/F31 (LCI);Estilo LCI | Pisca sequencial | Par traseiro;imagens/ilustracao-l01-00003.svg
Faróis & Lanternas;Lanterna;BMW;Lanterna BMW F32 — Vermelha M4 Style;L01.00002;LED;Vermelho cristal;BMW Série 4 F32;Estilo M4 | Pisca sequencial | Par traseiro;imagens/ilustracao-l01-00002.svg
Faróis & Lanternas;Lanterna;BMW;Lanterna BMW G28 — Dragon Scale;L01.00004;LED sequencial;Smoked / Black;BMW Série 3 G20/G28 (2019–2022);LED dinâmico | Pisca sequencial | Dragon Scale;imagens/ilustracao-l01-00004.svg
Faróis & Lanternas;Lanterna;BMW;Lanterna BMW X3 — G08;L01.00001;LED sequencial;Smoked / Vermelho;BMW X3 G08 (2018–2021);LED dinâmico | Pisca sequencial | Par traseiro;imagens/ilustracao-l01-00001.svg
Faróis & Lanternas;Lanterna;BMW;Lanterna Dragon Scale F32;L01.00005;LED;Vermelho;BMW Série 3 F30 320/328 (2013–2018);Dragon Scale | Pisca sequencial | Par traseiro;imagens/ilustracao-l01-00005.svg
Faróis & Lanternas;Lanterna;BMW;Par de Lanternas Traseiras — Modelo M4 CS;L01.00006;LED sequencial;Vermelho cristal;BMW 320/328 F30 (2013–2018);LED dinâmico | Modelo M4 CS | Pisca sequencial;imagens/ilustracao-l01-00006.svg
Acessórios;Acabamento;BMW;BMW - Acabamento em Fibra de Carbono;;Fibra de carbono;Preto / Carbono;BMW Série F / M3 — confirmar acabamento e encaixe;Acabamento em fibra de carbono;imagens/bmw-bmw-acabamento-em-fibra-de-carbono-1.webp
Acessórios;Paddle Shift;BMW;Paddle Shift BMW em Fibra de Carbono;1.10.B02.20007;Fibra de carbono;Preto / Carbono;Volantes BMW compatíveis — confirmar encaixe pelo veículo;Par de aletas | Fibra de carbono | Acabamento esportivo;imagens/acessorio-bmw-paddle-carbono.webp
